Format Version,1.21,Take Name,Outdoor_2018_05_17_2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-05-17 08.10.51 PM,Total Frames in Take,44265,Total Exported Frames,44265,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
207,1.725000,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
208,1.733333,-0.002368,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
209,1.741667,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
210,1.750000,-0.003549,0.999695,-0.000063,-0.024424,-0.070380,0.217133,0.340859,0.000539
211,1.758333,-0.002416,0.999711,-0.000630,-0.023908,-0.070607,0.216986,0.341063,0.000813
212,1.766667,-0.002368,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
213,1.775000,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
214,1.783333,-0.002368,0.999711,-0.000640,-0.023915,-0.070612,0.216969,0.341059,0.000817
215,1.791667,-0.002367,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
216,1.800000,-0.002367,0.999711,-0.000640,-0.023916,-0.070611,0.216969,0.341059,0.000817
217,1.808333,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
218,1.816667,-0.002367,0.999711,-0.000641,-0.023917,-0.070611,0.216969,0.341058,0.000817
219,1.825000,-0.002368,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
220,1.833333,-0.002368,0.999711,-0.000640,-0.023915,-0.070611,0.216969,0.341059,0.000817
221,1.841667,-0.002368,0.999711,-0.000640,-0.023914,-0.070612,0.216969,0.341059,0.000817
222,1.850000,-0.002368,0.999711,-0.000640,-0.023914,-0.070612,0.216969,0.341059,0.000817
223,1.858333,-0.002367,0.999711,-0.000641,-0.023916,-0.070611,0.216969,0.341059,0.000817
224,1.866667,-0.002681,0.999720,-0.001267,-0.023467,-0.070539,0.216894,0.341010,0.000872
